id,login,display_name,type,broadcaster_type,description,profile_image_url,offline_image_url,view_count,created_at,_channel_tags
720045077,tv_seven1,TV_Seven1,,,,https://static-cdn.jtvnw.net/jtv_user_pictures/781d146f-2adf-4a13-8e17-6dd911fc8e5c-profile_image-300x300.png,,1.0,2021-08-22T10:59:26Z,"['vtubergame', 'Français', 'Vtuber', 'vtuber', 'Fr', 'fr']"
85342242,cassisofthesea,CassisOfTheSea,,affiliate,"Bienvenue dans les mers du grand ouest, Cassis la requin tigre vtubeuse et apprentie cowgirl se fait une joie de t'avoir à ses côtés 🩷",https://static-cdn.jtvnw.net/jtv_user_pictures/d1095051-42ef-406b-91de-23cebc351d2c-profile_image-300x300.jpeg,https://static-cdn.jtvnw.net/jtv_user_pictures/897c539c-8fb9-40c8-a5f2-7ece79dcf47f-channel_offline_image-1920x1080.jpeg,18249.0,2015-03-15T12:30:59Z,"['vtuber', 'fr', 'vtuberfr', 'lgbtqiaplus', 'mimic', 'shark', 'anypronouns', 'WQHD', 'Cassgender', 'Français']"
768327954,thatself,thatself,,affiliate,"Elftuber qui bug beaucoup, Mayu ! 𓍊𓋼 ",https://static-cdn.jtvnw.net/jtv_user_pictures/a77174ba-7fb5-47f7-a58e-77abd83803a1-profile_image-300x300.png,,1389.0,2022-02-01T14:05:56Z,"['Vtuber', 'Elf', 'Comfy', 'Chill', 'Anime', 'Français']"
505940780,guigou_vt,Guigou_VT,,,streamer quand il veut,https://static-cdn.jtvnw.net/jtv_user_pictures/50b3ee7b-7d28-40da-85ab-47adbe01d0e8-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/1d0f9ecd-4f56-40b7-8227-9af92fc3b435-channel_offline_image-1920x1080.png,788.0,2020-03-30T11:45:14Z,"['Vtuber', 'VTubeurFR', 'VStream', 'vstreamerfr', 'VStreamer', 'Français']"
162310499,shirodoggo,ShiroDoggo,,affiliate,"Woof! 🐺 Bienvenue sur cette chaine. Streams un peu aléatoires quand j'ai le temps, parfois à plusieurs. Papattes sur vous 🐾",https://static-cdn.jtvnw.net/jtv_user_pictures/292c7688-4aa5-4722-a282-98fc2397914b-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/24b890d1-ba20-4960-981d-68398261df90-channel_offline_image-1920x1080.png,3223.0,2017-07-01T09:00:41Z,"['vtuberfr', 'dogboy', 'casual', 'variety', 'dog', 'français', 'french', 'lgbtqia', 'vtuber', 'furry']"
139414177,xeatea,xeatea,,affiliate,POG,https://static-cdn.jtvnw.net/jtv_user_pictures/a745f0ad-d5b3-48ed-8f9b-dd8cd0f75dbc-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/58c3b69c-18ef-4531-9f47-83944ec77404-channel_offline_image-1920x1080.png,19478.0,2016-11-13T11:38:13Z,"['Gacha', 'Vtuber', 'PnGtuber', 'Français']"
588198771,lowlig__,lowlig__,,,"Coucou moi c'est Lowlig, appelle moi Low ^^. Je suis de Suisse et j'aime partager ma passion du jeu vidéo en stream. Hésite pas à me suivre sur instagram pour ne rien rater. ^^",https://static-cdn.jtvnw.net/jtv_user_pictures/a8c09237-1c1f-4c32-8e61-afe27578e6a7-profile_image-300x300.png,,56.0,2020-09-25T19:09:28Z,"['France', 'Suisse', 'Vtuber', 'LGBTQIAPlus', 'Français']"
617172422,yolko_nightshade,Yolko_Nightshade,,,"Salut ! Je suis une vtubeuse FR Kitsune Oni ! Je fais  du dessin, je joue a des jeux tel que Dead by daylight, Overwatch, Valorant ou encore Genshin Impact ",https://static-cdn.jtvnw.net/jtv_user_pictures/c2b1189b-5b5d-4ae0-99fe-7ac3fd139132-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/96aa13cb-ae82-41cb-a37d-fa75f12f459a-channel_offline_image-1920x1080.png,156.0,2020-12-06T09:37:24Z,"['fun', 'chill', 'safe', 'horreur', 'vtuber', 'dessin', 'Français']"
692690995,naku_niwa,naku_niwa,,,"I'm Nakuri Niwa (previously known as NiwaKu-Rys) a freelance Illustrator from France. I mainly do illustration, character design, logo design and stream graphics.",https://static-cdn.jtvnw.net/jtv_user_pictures/d892f354-8019-4019-895b-04cd82c1d047-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/2df220bf-0c81-4975-ac87-702a4ab688c3-channel_offline_image-1920x1080.png,142.0,2021-05-31T16:47:00Z,"['vtuber', 'anime', 'graphicdesign', 'artcommission', 'cool', 'music', 'chill', 'logo', 'english', 'English']"
169964443,niniiks7,Niniiks7,,affiliate,"Je suis Niniiks, jeune homme de 26 ans. Qui aime les jeux vidéos, discuter, rire et partager une bonne humeur ! Ici on joue sans prétention, pour le fun, en solo ou avec des copaings :3 Si tu le souhaite n'hésite pas à follow la chaine ! Coeurs sur vous !",https://static-cdn.jtvnw.net/jtv_user_pictures/30f04763-d29b-4935-91ab-ab16db344cf3-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/f270d25b-e6fb-4840-9ad9-7cb5f9a6bd85-channel_offline_image-1920x1080.png,596.0,2017-08-15T11:04:42Z,"['Vtuber', 'Français']"
431564176,labbenoire,labbenoire,,affiliate,[FR/EN] VTuber / here to bring some good vibes 😎Suce un pouce,https://static-cdn.jtvnw.net/jtv_user_pictures/c9287833-567d-4da8-aaf0-5b9d5b010758-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/6e413fd2-96d6-45b4-b13b-c64bdf8a917b-channel_offline_image-1920x1080.jpeg,10914.0,2019-04-22T01:49:13Z,"['Cozy', 'Français', 'Vtuber', 'Vtuberfr']"
468896681,gentildragon_,Gentildragon_,,affiliate,PNG-tuber × Contact Pro: gentildragon.business@gmail.com ,https://static-cdn.jtvnw.net/jtv_user_pictures/01b19fa1-cf9a-495b-a4a7-5bc9fe515cf6-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/a6588c55-80b9-43f9-aa2d-ad1e9a0234c9-channel_offline_image-1920x1080.png,164.0,2019-10-24T16:10:50Z,"['Gaming', 'Vtuber', 'Chill', 'PNGtuber', 'Nintendo', 'Anime', 'Français']"
490368799,shiharuru_,Shiharuru_,,affiliate,🌈 Artist Illustrator | live2d & 3D creator + rigger | Commissions: Please ask :) http://shiharuru.carrd.co,https://static-cdn.jtvnw.net/jtv_user_pictures/c3d00bcd-e0be-40c3-9113-ad916b4462f2-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/913877d0-7356-45dc-a5a5-505e7752e752-channel_offline_image-1920x1080.png,1381.0,2020-02-04T20:55:29Z,"['Vtuber', 'Artist', 'Commission', 'Avatar', 'Français', 'art']"
757222178,magua3heads,magua3heads,,,franchement jsp ce que je fous la mdrr ,https://static-cdn.jtvnw.net/jtv_user_pictures/730dba1c-667b-43a1-b0ce-27c077db5adc-profile_image-300x300.png,,94.0,2021-12-30T16:42:42Z,"['France', 'Vtuber', 'Stardewvaley', 'Découverte', 'onestnuls', 'Français']"
605263223,usolia,Usolia,,affiliate,"[Vtubeuse VF/ENG] Salut, c'est Uso! Venez avec moi pour rager sur un Nuzlocke, ou pour Chill tranquillement sur un petit jeu de ferme!",https://static-cdn.jtvnw.net/jtv_user_pictures/85ff50f7-f167-4ea8-85b2-c69e7790e473-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/3be8fbab-5608-4874-b161-784f7f9684e2-channel_offline_image-1920x1080.png,1378.0,2020-11-08T22:09:52Z,"['Vtuber', 'aRPG', 'Pokémon', 'design', 'Français']"
470229907,roi_noob_,Roi_Noob_,,affiliate,"Votre Roi noobesque pour vous servir, je suis nouveau dans le milieux du Vtubing, je suis plutôt calme et j'aime parler au chat. Abonne-toi pour plus de rigolade ",https://static-cdn.jtvnw.net/jtv_user_pictures/bdf0c911-c9d6-4fe8-8500-21445002abdf-profile_image-300x300.png,,469.0,2019-10-31T22:42:10Z,"['Québec', 'Vtuber', 'Français']"
601051051,k0m4san,k0m4san,,,pour venir parler avec moi et des copain https://discord.gg/JcqN45tv voici le discord et pa la place pour le reste deso,https://static-cdn.jtvnw.net/jtv_user_pictures/1ef439af-a6e1-456b-9c99-bb011d3c1b8d-profile_image-300x300.png,,173.0,2020-10-28T21:04:55Z,"['Français', 'vtuber']"
59229453,novanertia,Novanertia,,affiliate,"Who am i, Where am i, What am i ?",https://static-cdn.jtvnw.net/jtv_user_pictures/712135ef-1656-49c5-839e-4482b2e5cb47-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/3a96233c-f977-469b-9c5f-246f1ea06a90-channel_offline_image-1920x1080.png,452.0,2014-03-19T17:51:43Z,"['VTuber', 'Guy', 'SpaceTime', 'Manager', 'Trilingual', 'Space', 'MasterGrinder', 'NobackSeating']"
605418870,shynee_chr,ShyNee_chr,,affiliate,"Bonjour, ici Shy-Nee, votre Neko Premium prête à vous servir du thé ! Le salon est ouvert chaque Samedi dès 20h ! Soyez au rendez-vous 🫖😼",https://static-cdn.jtvnw.net/jtv_user_pictures/2e202e83-ff34-479b-818b-b4169b0b5b39-profile_image-300x300.png,,231.0,2020-11-09T10:26:46Z,"['neko', 'catgirl', 'artiste', 'horreur', 'gaming', 'IRL', 'Vtuber', 'silly', 'Français']"
777043559,galaa974,Galaa974,,,P'tit Streamer,https://static-cdn.jtvnw.net/jtv_user_pictures/6ea8ec73-c55a-4071-af27-ecedaa95154e-profile_image-300x300.png,,1.0,2022-03-02T17:38:54Z,"['Vtuber', 'Français']"
726532825,glitterquartzz,glitterquartzz,,,Juste une meuf comme les autres ,https://static-cdn.jtvnw.net/jtv_user_pictures/c75718ca-d98c-427b-9060-9931b35b0e70-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/aca8b0c6-f921-4fe4-af2a-1e67adc13792-channel_offline_image-1920x1080.png,52.0,2021-09-13T21:28:13Z,"['Français', 'Matchmaking', 'fun', 'chill', 'chillTryhard', 'ranked', 'vtuber']"
149302020,mastergekku,MasterGekku,,,"French league player, anime and gaming enjoyer. ",https://static-cdn.jtvnw.net/jtv_user_pictures/c292510c-eb3e-4e8f-980b-05d63677664f-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/37642faf-053c-427f-ba77-999f6f873bb8-channel_offline_image-1920x1080.jpeg,63.0,2017-03-03T11:12:06Z,"['Anime', 'Chill', 'Vtuber', 'Gekku', 'VtuberFR', 'Support']"
79159818,viloup_,viloup_,,,🐺 Vilu0603 / Viloup 狼 🐺📌 Née le 7 octobre 1999📌 Fr-» Nightcore-» Gaming-» Mobile,https://static-cdn.jtvnw.net/jtv_user_pictures/0142e932-909a-42f4-8b90-66aa0fa5c5d2-profile_image-300x300.png,,246.0,2015-01-07T15:29:44Z,"['Vtuber', 'gacha', 'Découverte', 'Français']"
468882798,captainorion_,captainorion_,,affiliate,https://linktr.ee/captain_orion,https://static-cdn.jtvnw.net/jtv_user_pictures/8ed0267b-001f-47ab-85ba-69ef4ee3619b-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/bd846878-da65-421e-87d6-6d26a62602f4-channel_offline_image-1920x1080.jpeg,2275.0,2019-10-24T14:15:43Z,"['DJ', 'METAVERSE', 'VTUBER', 'vr', 'vrchat', 'Français']"
854692159,peppichu_chan,peppichu_chan,,,Début: janvier 2023 Start: january 2023,https://static-cdn.jtvnw.net/jtv_user_pictures/5bdb44d4-94be-49f0-9fc4-3fffde0c67db-profile_image-300x300.png,,0.0,2022-12-06T14:00:54Z,"['vtuberfr', 'vtuber', 'Pokemonnuzlocke', 'Pokemon', 'francais']"
485862208,teryako_tv,teryako_tv,,,je suis un shitpost de hauts niveau,https://static-cdn.jtvnw.net/jtv_user_pictures/080f8c34-f539-413c-bce7-1840d4a5eef4-profile_image-300x300.png,,285.0,2020-01-15T19:31:27Z,"['quebec', 'chrétien', 'cisgenre', 'vtuber']"
503670880,theangelsim,theangelsim,,,,https://static-cdn.jtvnw.net/jtv_user_pictures/bd65d8ed-6eac-4762-9196-b67dfe722d51-profile_image-300x300.jpeg,https://static-cdn.jtvnw.net/jtv_user_pictures/23688fcd-77d6-4079-8871-38a304a3c642-channel_offline_image-1920x1080.png,6.0,2020-03-25T16:22:32Z,"['Vtuber', 'Chill', 'Français']"
151558789,ravenvz,RavenVZ,,affiliate,,https://static-cdn.jtvnw.net/jtv_user_pictures/fce06f08-d76d-43ea-a93c-3a5f11860a07-profile_image-300x300.png,,498.0,2017-03-26T17:15:21Z,"['Vtuber', 'Détente', 'BackseatOK', 'weliveinasociety', 'Français']"
808745908,leobearboy,LeoBEARBOY,,,"French Bear Demon VTuber 🐻⚡️| Gaming, Graphic Design and Drawing | 🇫🇷 🇬🇧 OK ",https://static-cdn.jtvnw.net/jtv_user_pictures/ea54c91d-4f73-4bbb-9b38-0af218f21295-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/a17c90af-ca8a-47e1-8257-f162825b412c-channel_offline_image-1920x1080.jpeg,0.0,2022-07-13T14:56:40Z,"['Vtuber', 'VtuberFR', 'chill', 'french', 'Français']"
79965524,the_foxama,the_foxama,,,"Bonjour à toi ! Ici on fais principalement du Gartic Phone ! Mais parfois, c'est une surprise..",https://static-cdn.jtvnw.net/jtv_user_pictures/21875196-04fc-48bc-855e-4efb112b28ae-profile_image-300x300.png,,225.0,2015-01-16T16:21:04Z,"['Français', 'vtuber', 'Mecha', '1V1']"
471310231,hyrosato,HYROSATO,,affiliate,JE COMMENCE ALORS AIDE MOI A COMMENCER ,https://static-cdn.jtvnw.net/jtv_user_pictures/25570e9e-5c4a-48f9-8a80-56857c705e73-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/b24262ae-630b-425c-aaef-280cfeeaac70-channel_offline_image-1920x1080.png,373.0,2019-11-07T15:02:59Z,"['Vtuber', 'France', 'Français']"
505496294,yay0_tv,Yay0_TV,,affiliate,"Vtuber Français, créateur de contenus sur TikTok et Youtube ! Tu m'as ptet déjà croisé qui sait ? Viens voir mes ptits live on s'amuse bien !  Me contacter ; yayovt.pro@gmail.com",https://static-cdn.jtvnw.net/jtv_user_pictures/9034fb0c-973f-40a8-859d-74c5e9c7ada0-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/08fef9fa-94f1-4052-97e5-a239e823c021-channel_offline_image-1920x1080.png,41.0,2020-03-29T10:38:22Z,"['PlayingWithViewvers', 'Vtuberfr', 'Détente', 'Playthrough', 'vtuber', 'Français']"
153293804,heavenscovries,heavenscovries,,affiliate,streamer à mes heure perdues principalement des jeux d'horreur  et du speedrun d'autre jeux fun style fire emblem heroes etc a plus en stream enjoy,https://static-cdn.jtvnw.net/jtv_user_pictures/849469c1-1dd5-46f1-8dd8-2702aa7b4fd1-profile_image-300x300.png,,1825.0,2017-04-13T21:32:24Z,"['vtuber', 'animeboy', 'chill', 'english', 'chilling', 'Français']"
46143827,gaelle006,gaelle006,,affiliate,"Bonjour ! Je m’appelle Gaëlle ou plutôt « Gwen ou Paint » sur internet ^^' J’adore le dessin, ainsi que les séries animées, ça peut aller de my little pony à L’Attaque des Titans. (oui oui my little pony vous l'avez bien compris x)) J’aime aussi jouer à des jeux vidéos !!",https://static-cdn.jtvnw.net/jtv_user_pictures/3e3eb72b-fcc0-4899-9ef3-5153671f6851-profile_image-300x300.png,,1447.0,2013-07-15T18:33:03Z,"['Vtuber', 'Art', 'Draw', 'Furry', 'Brony', 'Français']"
48700302,madcake93,MadCake93,,,Bienvenue à la Madcompagny !,https://static-cdn.jtvnw.net/jtv_user_pictures/cf0fc150-ebea-47a2-9b1e-9cfd56f26a0a-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/madcake93-channel_offline_image-7e661f7d9b410bad-1920x1080.png,404.0,2013-09-07T20:05:26Z,"['joie', 'OuO', 'Chill', 'platine', 'Français', 'ｖtuber', 'vtuber', 'ranking']"
782959831,heeeeil,HeeeeIl,,affiliate,"Yo 🌝 si vous voulez du haut niveau et du skill de ouf, vous vous êtes trompés 🤡 par contre si vous voulez discuter et rigoler avec nous : bienvenue 🥸",https://static-cdn.jtvnw.net/jtv_user_pictures/4a693e6e-7ab8-44ed-b51d-ef33e2a61618-profile_image-300x300.png,,36.0,2022-03-26T09:20:27Z,"['Multijoueur', 'France', 'Vtuber', 'Français']"
452775601,lecorbakofficial,LecorbakOfficial,,affiliate,Vtuber Français Professionnel.,https://static-cdn.jtvnw.net/jtv_user_pictures/820b1e33-9b8c-45ee-a82f-6d3fceef79e3-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/13be0511-6fbf-47e8-9459-125fb74222b1-channel_offline_image-1920x1080.jpeg,2374.0,2019-08-05T20:07:16Z,"['vtuber', 'jeudecombat', 'gacha', 'vtuberfr', 'Français']"
643240723,ghostfighs,ghostfighs,,,J’aime le gaming ,https://static-cdn.jtvnw.net/jtv_user_pictures/1fdb3bbd-0555-42c6-b0b2-635999125fc1-profile_image-300x300.png,,45.0,2021-01-30T00:58:07Z,['Français']
60628411,tsutsunart,TsuTsunArt,,affiliate,"Coucou tout le monde et bienvenu sur mon live ! Je suis une artiste francophone , je dessine beaucoup de furry ou de manga ! J'essais au mieux de faire des lives du lundi au vendredi de 10h a 14h (sauf le mercredi) ! donc hesitez pas a venir faire un petit coucou ca fait toujours tres plaisir ;3 ",https://static-cdn.jtvnw.net/jtv_user_pictures/849581e0-0a14-417b-894d-5b0077e6703d-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/0a686f24-8391-4803-bb1d-514851f7ff91-channel_offline_image-1920x1080.png,5116.0,2014-04-11T13:25:32Z,"['vtuber', 'tsutsunart', 'chill', 'furry', 'pasdeconseils', 'Français']"
215819908,kikitchiwi,kikitchiwi,,affiliate,gaming HARDCORE mais en mode facile,https://static-cdn.jtvnw.net/jtv_user_pictures/6f993ae3-4e48-4afa-92c6-750166f6e667-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/94c34f69-60f1-4df5-9dda-c7a14ad3c665-channel_offline_image-1920x1080.png,9943.0,2018-04-21T16:54:45Z,"['france', 'français', 'LeCafé', 'raccoon', 'mushroom', 'blabla', 'vtuber', 'vtuberfr', 'pngtuber', 'pokemon']"
35632066,mawy_p,Mawy_P,,affiliate,"Digital Flareon and end of the week streamer, I draw and do things... // Pyroli numérique et streamer de fin de semaine, il parait que je dessine ou que je fais des trucs... // Contact: mawydraws@gmail.com",https://static-cdn.jtvnw.net/jtv_user_pictures/0e18d074-71b6-486c-9d93-e22279712e38-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/9c3fe6a1-1314-45ce-b488-3b51b41e4629-channel_offline_image-1920x1080.png,6525.0,2012-08-22T20:42:57Z,"['Chill', 'Flareon', 'Tranquille', 'Eevee', 'français', 'VTuber', 'ArtNumérique', 'Débutant', 'beginner', 'Cat']"
42037162,the_deer_rest,the_deer_rest,,affiliate,"Bienvenue a la taverne The Deer Rest ! asseyez vous, prenez un verre, et détendez vous !",https://static-cdn.jtvnw.net/jtv_user_pictures/9ed77d43-fee3-41d9-b9ea-1e2681b62f92-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/827cb106-af3f-4976-8f1a-394330152718-channel_offline_image-1920x1080.png,6282.0,2013-04-03T17:04:40Z,"['vtuber', 'furry', 'furrytuber', 'vtuberFR', 'Français']"
486014470,vl_vito,vl_viTO,,,"fait des live sur gta 5 rp , et d'autres encore",https://static-cdn.jtvnw.net/jtv_user_pictures/c433e158-8f55-48a4-8224-71bc9cad0517-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/74aa9e97-6ab4-4785-9f1e-8a3cd7fa14f6-channel_offline_image-1920x1080.png,110.0,2020-01-16T16:34:42Z,"['Vtuber', 'JcJ', 'Français']"
88702293,chowcocloud,ChowcoCloud,,affiliate,heyo c'est Chowco ☁️ bienvenue ! je suis une vstreameuse qui aime discuter et partager ma bonne humeur ✩,https://static-cdn.jtvnw.net/jtv_user_pictures/af207536-f12a-418c-a9ab-7ebd888c96cf-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/c668963c-c26a-405c-ac49-fa8385e1d738-channel_offline_image-1920x1080.png,24419.0,2015-04-16T16:17:20Z,"['Vtuber', 'VtuberFR', 'Anime', 'VisualASMR', 'Survie', 'PartieavecSpectateurs', 'Détente', 'Discussion', 'GraVty', 'Français']"
86744142,aexartv,AexarTv,,affiliate,Salut ! Moi c'est Aexar aka un gars de Suisse. Venez chill dans le chat et discuter ! Pour me contacter : aexarcontact@gmail.com,https://static-cdn.jtvnw.net/jtv_user_pictures/740f9e17-f26b-45a5-b8d4-d201aebd860a-profile_image-300x300.png,,3412.0,2015-03-28T21:00:50Z,"['vtuber', 'Français']"
117532759,blackorbit1,blackorbit1,,,Hello 👋  I do game streaming at random moments,https://static-cdn.jtvnw.net/jtv_user_pictures/08be76f8-f918-413e-b62c-c92241010add-profile_image-300x300.png,,23.0,2016-03-02T16:04:22Z,"['furry', 'rythmgame', 'chill', 'french', 'english', 'vr', 'vtuber', 'mixedreality', 'virtualreality', 'fullbodytracking']"
36188616,arthegonsoma,ArthegonSoma,,affiliate,"⛩️ Poyo everyone, I'm Arthegon Soma a Virtual dragon shark ! I enjoying entertaining people, and try making smile for you! I enjoy playing video games, drawing , and spending time with friends!~ ⛩️ #Vtuber #VtuberEN #VStreamer #VTuberFR #Arthy_Live #ArthySoulsArt",https://static-cdn.jtvnw.net/jtv_user_pictures/dff1a286-c3f8-4fc5-8a4a-9f488104185f-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/b0ff037e-f660-4355-b22f-bf3393d708fb-channel_offline_image-1920x1080.png,20983.0,2012-09-15T10:46:29Z,"['vtuber', 'furry', 'LGBTQIAPlus', 'english', 'VTuberEN', 'VTuberFr', 'Streamheroes', 'Français']"
834141627,nonoach,NonoaCh,,,(EN/FR) Bonjour ~~  Alchemist Vtuber 🧪 ~ Come and chat with me ! ,https://static-cdn.jtvnw.net/jtv_user_pictures/921e40b3-a274-45c5-8ec1-3a75045c797f-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/789aa80a-7239-49f0-bd7e-e97c7e5d50c5-channel_offline_image-1920x1080.png,0.0,2022-09-30T16:28:12Z,"['Vtuber', 'Anime', 'Gaming', 'Chill', 'Francais', 'Français']"
155354768,tabbyyuumy,TabbyYuumy,,affiliate,✨Bienvenue dans la Magical Family ✨🌸Pseudo:Tabby🌸Illustratrice🌸Princesse chat🌸Ministre de la magie🌸Trouillarde🌸Débile🌸FFXIV🌸Hyperactive🌸Fan de l’univers d’Harry Potter🌸Jeux vidéo préféré : Kingdom Hearts🌸 ,https://static-cdn.jtvnw.net/jtv_user_pictures/66662ff4-27eb-410c-8d3a-a04daa4574db-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/3bb54fcf-7b58-4072-937a-abdefdaf251c-channel_offline_image-1920x1080.jpeg,10060.0,2017-05-01T13:44:43Z,"['Français', 'Vtuber', 'VtuberFR', 'FInalFantasyXIV']"
